song,danceability,energy,loudness,valence,tempo,user
Un Poco de Amor Francés,0.532,0.776,-7.873,0.667,137.736,gonza
De Música Ligera - Remasterizado 2007,0.537,0.749,-6.336,0.735,124.224,gonza
Campanas en la Noche,0.636,0.593,-5.181,0.742,145.972,gonza
Reyes de la Noche,0.512,0.845,-3.164,0.659,139.955,gonza
Nunca quise,0.709,0.787,-6.3,0.874,118.001,gonza
Los 90's,0.388,0.898,-4.077,0.7,189.85,gonza
La Soledad,0.63,0.679,-4.423,0.774,92.02,gonza
Arde la ciudad,0.569,0.9,-3.74,0.834,135.104,gonza
Como me cuesta decir que no,0.421,0.687,-5.709,0.473,160.053,gonza
9 de Julio,0.624,0.842,-4.098,0.929,141.892,gonza
Un Dia Perfecto,0.462,0.902,-4.059,0.718,138.037,gonza
Don,0.824,0.738,-5.431,0.961,119.973,gonza
Deja Vu,0.491,0.863,-7.573,0.271,138.958,gonza
Me Gustas Mucho,0.556,0.601,-7.511,0.605,111.106,gonza
Que Ves?,0.725,0.565,-8.626,0.714,162.012,gonza
Perfecta,0.648,0.727,-5.45,0.839,169.941,gonza
Mirenla,0.632,0.726,-6.357,0.802,160.943,gonza
Lunes Por La Madrugada,0.604,0.594,-11.517,0.527,138.862,gonza
Descontrolado,0.569,0.809,-5.069,0.772,140.037,gonza
A las Nueve,0.624,0.803,-5.688,0.825,129.931,gonza
Dance With Me,0.792,0.704,-7.181,0.472,124.003,nico
Home,0.612,0.767,-5.972,0.0458,120.018,nico
Variant,0.761,0.824,-5.823,0.0566,124.033,nico
Pantheon,0.585,0.673,-8.274,0.0389,120.015,nico
Welcome To The Opera (with Grimes),0.455,0.897,-6.345,0.0578,124.977,nico
Transmission - Joris Voorn Remix,0.711,0.838,-7.985,0.223,124.002,nico
Criseide,0.739,0.656,-9.457,0.0415,126.0,nico
Tibet,0.729,0.919,-8.763,0.0382,123.989,nico
Aylyak,0.578,0.901,-5.214,0.106,124.022,nico
Tataki,0.826,0.401,-11.684,0.0561,122.017,nico
Follow the Stars,0.736,0.802,-6.367,0.158,130.01,nico
Explore Your Future,0.716,0.881,-7.027,0.293,123.984,nico
Kurai,0.584,0.943,-4.204,0.0833,129.995,nico
My City's On Fire - Anyma & Cassian Remix,0.611,0.777,-6.599,0.31,126.006,nico
Head Over - Diode Eins & David Hasert Remix,0.703,0.804,-6.077,0.355,125.008,nico
Turn On The Lights again.. (feat. Future) - Anyma Remix,0.683,0.825,-6.175,0.0451,126.023,nico
Solid Breaker,0.721,0.788,-5.412,0.261,124.039,nico
The Mirage,0.724,0.866,-7.028,0.525,126.0,nico
More Coke!!,0.624,0.559,-8.287,0.0842,109.002,nico
Point Of No Return,0.555,0.918,-10.394,0.1,121.988,nico
Solitude,0.462,0.15,-13.531,0.19,98.66,flori
Dream A Little Dream Of Me - Single Version,0.443,0.104,-17.042,0.394,76.497,flori
Fly Me To The Moon,0.67,0.365,-10.158,0.45,119.344,flori
La vie en rose - Single Version,0.52,0.0406,-16.397,0.285,70.138,flori
The Girl From Ipanema,0.653,0.149,-17.866,0.481,130.359,flori
I Fall In Love Too Easily,0.532,0.0657,-19.136,0.292,128.607,flori
In A Sentimental Mood,0.464,0.305,-12.435,0.282,108.229,flori
Blue in Green (feat. John Coltrane & Bill Evans),0.421,0.0162,-25.358,0.154,110.479,flori
Take Five,0.454,0.26,-13.193,0.598,174.322,flori
I'll Be Seeing You,0.355,0.0304,-20.479,0.188,90.495,flori
Cheek To Cheek,0.663,0.264,-14.571,0.657,122.482,flori
What A Wonderful World,0.271,0.165,-20.652,0.203,77.082,flori
Stormy Weather,0.262,0.356,-8.031,0.426,174.176,flori
Corcovado (Quiet Nights Of Quiet Stars),0.52,0.132,-17.857,0.377,127.355,flori
Unforgettable,0.349,0.182,-13.507,0.178,136.094,flori
Blue Moon,0.639,0.269,-11.435,0.539,124.866,flori
My Baby Just Cares for Me - 2013 Remastered Version,0.746,0.243,-15.134,0.425,118.578,flori
"So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)",0.532,0.151,-17.266,0.211,136.759,flori
My Funny Valentine,0.438,0.00756,-26.44,0.277,133.32,flori
In the Mood - Live,0.463,0.654,-9.72,0.592,175.204,flori
